Frequency,Uncertainty,A,Intensity,Molecule,Isotopologue,Dataset,"E""",g',"g""",J',"J""",QN',"QN"""
  133.751532,    0.000038,7.9412E-02,2.4433E-28,H2O,1H2-16O,POKAZATEL, 4248.152449,    11,    11,      5,      5,  5  1  1  0  0  A2                               ,  3  2  0  0  1  A1                               
  134.095694,    0.000001,6.3568E-01,3.8250E-21,H2O,1H2-16O,POKAZATEL, 1340.884504,    19,    19,      9,      9,  5  5  0  0  0  A2                               ,  4  6  0  0  0  A1                               
  134.182225,    0.000066,3.3411E-01,7.3820E-29,H2O,1H2-16O,POKAZATEL, 4931.271776,    21,    21,      3,      3,  3  0  0  3  0  B2                               ,  2  1  0  3  0  B1                               
  134.311950,    0.000005,3.6444E-01,8.7735E-26,H2O,1H2-16O,POKAZATEL, 3601.858677,    39,    39,      6,      6,  2  5  0  2  0  B1                               ,  1  6  0  2  0  B2                               
  134.504795,    0.000002,6.2353E-01,2.0698E-23,H2O,1H2-16O,POKAZATEL, 2630.192330,    51,    51,      8,      8,  4  5  0  1  0  B1                               ,  3  6  0  1  0  B2                               
  134.632484,    0.000211,7.6800E-01,1.4041E-25,H2O,1H2-16O,POKAZATEL, 3623.763002,    33,    33,     16,     16,  5 11  0  0  0  A2                               ,  4 12  0  0  0  A1                               
  134.994855,    0.000008,1.0564E-01,2.0057E-24,H2O,1H2-16O,POKAZATEL, 2613.103795,    27,    25,     13,     12,  6  8  0  0  0  A1                               ,  7  5  0  0  0  A2                               
  135.026804,    0.000002,5.3165E-01,3.3557E-23,H2O,1H2-16O,POKAZATEL, 2495.165526,    51,    51,      8,      8,  3  6  0  1  0  B2                               ,  2  7  0  1  0  B1                               
  135.089763,    0.000042,6.8815E-01,2.3889E-29,H2O,1H2-16O,POKAZATEL, 5563.398942,    69,    69,     11,     11,  5  7  0  0  1  B1                               ,  4  8  0  0  1  B2                               
  135.207778,    0.000002,6.2385E-01,7.4342E-21,H2O,1H2-16O,POKAZATEL, 1446.127886,    63,    63,     10,     10,  4  7  0  0  0  B1                               ,  3  8  0  0  0  B2                               
  135.214644,    0.000044,1.3157E-03,2.9125E-29,H2O,1H2-16O,POKAZATEL, 4291.904673,    99,   105,     16,     17,  9  8  0  0  0  B2                               ,  6 11  0  0  0  B1                               
  135.244827,    0.000092,8.9218E-01,1.6784E-28,H2O,1H2-16O,POKAZATEL, 5121.600169,    45,    39,      7,      6,  0  7  0  3  0  B1                               ,  1  6  0  3  0  B2                               
  135.250708,    0.000029,8.1623E-04,3.2959E-29,H2O,1H2-16O,POKAZATEL, 3895.588138,    27,    21,      4,      3,  3  2  1  0  0  B2                               ,  1  3  0  0  1  B1                               
  135.304243,    0.000055,1.0229E+00,1.3578E-29,H2O,1H2-16O,POKAZATEL, 5674.309356,    45,    39,      7,      6,  0  7  1  1  0  B1                               ,  1  6  1  1  0  B2                               
  135.392811,    0.000159,8.2411E-01,5.3088E-29,H2O,1H2-16O,POKAZATEL, 5280.093939,    33,    33,     16,     16,  5 11  0  1  0  A2                               ,  4 12  0  1  0  A1                               
  135.557580,    0.000004,6.2650E-01,1.9776E-26,H2O,1H2-16O,POKAZATEL, 4052.836634,    45,    45,      7,      7,  4  3  0  2  0  B1                               ,  3  4  0  2  0  B2                               
  135.602906,    0.000000,5.6476E-01,6.0090E-22,H2O,1H2-16O,POKAZATEL, 1772.413219,    27,    21,      4,      3,  2  3  0  1  0  B1                               ,  1  2  0  1  0  B2                               
  135.618641,    0.000089,4.1849E-01,3.3938E-29,H2O,1H2-16O,POKAZATEL, 5002.569542,    11,    11,      5,      5,  2  4  0  3  0  A1                               ,  1  5  0  3  0  A2                               
  135.845827,    0.000001,4.9667E-01,1.0251E-20,H2O,1H2-16O,POKAZATEL, 1080.385289,    19,    19,      9,      9,  3  7  0  0  0  A2                               ,  2  8  0  0  0  A1                               
  136.178794,    0.000008,3.3276E-03,2.0797E-28,H2O,1H2-16O,POKAZATEL, 3879.335989,    39,    45,      6,      7,  4  3  0  2  0  B1                               ,  1  6  0  2  0  B2                               
  136.207566,    0.000042,8.6073E-01,2.0019E-26,H2O,1H2-16O,POKAZATEL, 4291.904673,   105,   105,     17,     17,  7 10  0  0  0  B2                               ,  6 11  0  0  0  B1                               
  136.212066,    0.000042,2.8871E-01,1.2728E-27,H2O,1H2-16O,POKAZATEL, 4488.090357,    51,    51,      8,      8,  1  7  0  0  1  B1                               ,  0  8  0  0  1  B2                               
  136.231874,    0.000059,1.7612E-01,4.1949E-28,H2O,1H2-16O,POKAZATEL, 4387.356790,    17,    17,      8,      8,  1  7  1  0  0  A2                               ,  0  8  1  0  0  A1                               
  136.334419,    0.000006,2.8822E-03,2.4457E-26,H2O,1H2-16O,POKAZATEL, 2705.096092,    19,    21,      9,     10,  3  7  0  1  0  A2                               ,  0 10  0  1  0  A1                               
  136.380965,    0.000033,1.0965E+00,2.7947E-26,H2O,1H2-16O,POKAZATEL, 4095.803162,    45,    39,      7,      6,  0  7  1  0  0  B1                               ,  1  6  1  0  0  B2                               
  136.391750,    0.000009,5.7204E-01,8.2759E-27,H2O,1H2-16O,POKAZATEL, 4263.149925,    57,    57,      9,      9,  2  7  0  2  0  B1                               ,  1  8  0  2  0  B2                               
  136.475181,    0.000056,1.0090E-01,5.1548E-25,H2O,1H2-16O,POKAZATEL, 3127.860959,    87,    81,     14,     13,  7  8  0  0  0  B2                               ,  8  5  0  0  0  B1                               
  136.478102,    0.000083,6.6202E-01,1.2117E-29,H2O,1H2-16O,POKAZATEL, 5465.052368,    23,    23,     11,     11,  5  7  1  0  0  A2                               ,  4  8  1  0  0  A1                               
  136.750223,    0.000009,9.9117E-01,2.6901E-25,H2O,1H2-16O,POKAZATEL, 3601.858677,    45,    39,      7,      6,  0  7  0  2  0  B1                               ,  1  6  0  2  0  B2                               
  136.817008,    0.000015,7.5448E-01,5.8326E-23,H2O,1H2-16O,POKAZATEL, 2300.684033,    25,    25,     12,     12,  6  6  0  0  0  A1                               ,  5  7  0  0  0  A2                               
  136.819040,    0.000013,9.2877E-02,1.5460E-27,H2O,1H2-16O,POKAZATEL, 4153.937922,    39,    33,      6,      5,  1  5  0  0  1  B1                               ,  3  2  1  0  0  B2                               
  136.955812,    0.000033,1.1354E+00,5.9385E-27,H2O,1H2-16O,POKAZATEL, 4195.818039,    15,    13,      7,      6,  0  7  0  0  1  A2                               ,  1  6  0  0  1  A1                               
  137.049855,    0.000120,8.4960E-01,1.1914E-29,H2O,1H2-16O,POKAZATEL, 5781.957646,    81,    81,     13,     13,  5  8  0  2  0  B2                               ,  4  9  0  2  0  B1                               
  137.068999,    0.000043,1.1146E+00,9.4301E-27,H2O,1H2-16O,POKAZATEL, 4095.315140,    15,    13,      7,      6,  1  7  1  0  0  A2                               ,  0  6  1  0  0  A1                               
  137.088510,    0.000055,3.8957E-01,6.2533E-29,H2O,1H2-16O,POKAZATEL, 4971.260148,    19,    19,      9,      9,  5  5  1  0  0  A2                               ,  4  6  1  0  0  A1                               
  137.224033,    0.000065,1.7357E-03,4.3354E-24,H2O,1H2-16O,POKAZATEL, 1557.843570,    23,    25,     11,     12,  3  9  0  0  0  A2                               ,  0 12  0  0  0  A1                               
  137.259866,    0.000048,8.6725E-01,5.4970E-28,H2O,1H2-16O,POKAZATEL, 5015.702698,    93,    93,     15,     15,  6  9  0  1  0  B1                               ,  5 10  0  1  0  B2                               
  137.328936,    0.000002,6.2601E-01,8.6520E-27,H2O,1H2-16O,POKAZATEL, 3927.802715,    11,     9,      5,      4,  2  4  1  0  0  A1                               ,  1  3  1  0  0  A2                               
  137.382752,    0.000002,7.0891E-01,4.3269E-21,H2O,1H2-16O,POKAZATEL, 1581.335664,    63,    63,     10,     10,  5  6  0  0  0  B2                               ,  4  7  0  0  0  B1                               
  137.434473,    0.000030,1.1490E+00,1.7977E-26,H2O,1H2-16O,POKAZATEL, 4195.477428,    45,    39,      7,      6,  1  7  0  0  1  B1                               ,  0  6  0  0  1  B2                               
  137.449939,    0.000003,3.4162E-01,2.7952E-23,H2O,1H2-16O,POKAZATEL, 2181.089840,    15,    15,      7,      7,  2  6  0  1  0  A1                               ,  1  7  0  1  0  A2                               
  137.599477,    0.000026,2.9078E-02,2.6357E-28,H2O,1H2-16O,POKAZATEL, 4244.304528,    33,    33,      5,      5,  5  0  1  0  0  B2                               ,  3  3  0  0  1  B1                               
  137.670139,    0.000001,5.6724E-01,1.4513E-26,H2O,1H2-16O,POKAZATEL, 4027.803589,    33,    27,      5,      4,  2  4  0  0  1  B2                               ,  1  3  0  0  1  B1                               
  137.791439,    0.000048,2.9726E-01,4.3026E-28,H2O,1H2-16O,POKAZATEL, 4488.145241,    17,    17,      8,      8,  2  7  0  0  1  A2                               ,  1  8  0  0  1  A1                               
  137.889491,    0.000005,1.0749E+00,5.1015E-22,H2O,1H2-16O,POKAZATEL, 2042.753109,    45,    39,      7,      6,  0  7  0  1  0  B1                               ,  1  6  0  1  0  B2                               
  138.499496,    0.000084,3.5976E-01,2.5978E-29,H2O,1H2-16O,POKAZATEL, 4926.862799,     7,     7,      3,      3,  3  1  0  3  0  A2                               ,  2  2  0  3  0  A1                               
  138.711272,    0.000153,1.0642E-01,1.7750E-25,H2O,1H2-16O,POKAZATEL, 3127.801436,    29,    27,     14,     13,  7  7  0  0  0  A2                               ,  8  6  0  0  0  A1                               
  138.742324,    0.000113,6.8524E-01,9.6258E-29,H2O,1H2-16O,POKAZATEL, 4717.473648,     5,     3,      2,      1,  2  0  0  3  0  A1                               ,  1  1  0  3  0  A2                               
  138.815766,    0.000006,4.8040E-03,1.0460E-28,H2O,1H2-16O,POKAZATEL, 3894.798724,    15,    17,      7,      8,  3  5  0  2  0  A2                               ,  0  8  0  2  0  A1                               
  138.826669,    0.000006,3.0924E-01,2.7862E-20,H2O,1H2-16O,POKAZATEL,  744.063658,    17,    17,      8,      8,  1  7  0  0  0  A2                               ,  0  8  0  0  0  A1                               
  138.901146,    0.000049,3.0644E-01,2.1384E-27,H2O,1H2-16O,POKAZATEL, 4387.062596,    51,    51,      8,      8,  2  7  1  0  0  B1                               ,  1  8  1  0  0  B2                               
  138.991184,    0.000005,1.1528E+00,1.1397E-18,H2O,1H2-16O,POKAZATEL,  447.252347,    45,    39,      7,      6,  0  7  0  0  0  B1                               ,  1  6  0  0  0  B2                               
  139.075364,    0.000009,4.6772E-03,6.6836E-29,H2O,1H2-16O,POKAZATEL, 4260.466311,    57,    63,      9,     10,  2  7  0  2  0  B1                               ,  1 10  0  2  0  B2                               
  139.078943,    0.000146,9.8614E-02,1.2083E-26,H2O,1H2-16O,POKAZATEL, 3685.417916,    31,    29,     15,     14,  8  8  0  0  0  A1                               ,  9  5  0  0  0  A2                               
  139.095842,    0.000067,3.9312E-01,1.3132E-29,H2O,1H2-16O,POKAZATEL, 5315.500536,    21,    15,      3,      2,  2  1  1  1  0  B1                               ,  1  2  1  1  0  B2                               
  139.299492,    0.000016,1.3718E-04,1.5679E-23,H2O,1H2-16O,POKAZATEL,  602.773495,    11,    13,      5,      6,  5  1  0  0  0  A2                               ,  2  4  0  0  0  A1                               
  139.309362,    0.000004,1.1107E+00,1.7421E-22,H2O,1H2-16O,POKAZATEL, 2041.780478,    15,    13,      7,      6,  1  7  0  1  0  A2                               ,  0  6  0  1  0  A1                               
  139.310340,    0.000027,1.5143E-02,6.5816E-29,H2O,1H2-16O,POKAZATEL, 4484.992083,    51,    45,      8,      7,  1  7  0  0  1  B1                               ,  3  4  1  0  0  B2                               
  139.426954,    0.000028,6.9856E-01,3.8029E-29,H2O,1H2-16O,POKAZATEL, 5442.097425,    63,    63,     10,     10,  6  4  0  0  1  B2                               ,  5  5  0  0  1  B1                               
  139.446877,    0.000004,6.1330E-01,1.3315E-26,H2O,1H2-16O,POKAZATEL, 3894.167613,    15,    15,      7,      7,  3  5  0  2  0  A2                               ,  2  6  0  2  0  A1                               
  139.466393,    0.000010,1.0552E+00,9.3871E-26,H2O,1H2-16O,POKAZATEL, 3600.052322,    15,    13,      7,      6,  1  7  0  2  0  A2                               ,  0  6  0  2  0  A1                               
  139.476569,    0.000040,7.8490E-03,8.0786E-29,H2O,1H2-16O,POKAZATEL, 3890.829472,     7,     7,      3,      3,  3  0  0  0  1  A1                               ,  0  3  0  0  1  A2                               
  139.485356,    0.000034,3.5960E-02,6.3565E-29,H2O,1H2-16O,POKAZATEL, 4387.234674,    13,    13,      6,      6,  5  1  1  0  0  A2                               ,  3  4  0  0  1  A1                               
  139.589725,    0.000087,9.9797E-02,3.6512E-26,H2O,1H2-16O,POKAZATEL, 3685.406600,    93,    87,     15,     14,  8  7  0  0  0  B1                               ,  9  6  0  0  0  B2                               
  139.610763,    0.000012,2.9571E-01,3.7222E-27,H2O,1H2-16O,POKAZATEL, 4033.614490,    17,    15,      8,      7,  2  6  0  2  0  A1                               ,  3  5  0  2  0  A2                               
  139.626024,    0.000023,5.7273E-03,4.5013E-29,H2O,1H2-16O,POKAZATEL, 4243.152155,    29,    31,     14,     15,  3 11  0  1  0  A2                               ,  2 14  0  1  0  A1                               
  139.782585,    0.000007,1.1741E+00,3.8510E-19,H2O,1H2-16O,POKAZATEL,  446.696600,    15,    13,      7,      6,  1  7  0  0  0  A2                               ,  0  6  0  0  0  A1                               
  139.972832,    0.000002,1.9296E-01,3.5671E-24,H2O,1H2-16O,POKAZATEL, 2764.697125,    57,    51,      9,      8,  3  6  0  1  0  B2                               ,  4  5  0  1  0  B1                               
  140.711687,    0.000001,6.6728E-01,3.6168E-19,H2O,1H2-16O,POKAZATEL,  275.497057,    11,     9,      5,      4,  2  4  0  0  0  A1                               ,  1  3  0  0  0  A2                               
  140.714398,    0.000028,2.6159E-01,5.2749E-28,H2O,1H2-16O,POKAZATEL, 4387.234674,    15,    13,      7,      6,  2  5  0  0  1  A2                               ,  3  4  0  0  1  A1                               
  140.726022,    0.000055,7.6744E-01,1.9139E-29,H2O,1H2-16O,POKAZATEL, 5621.333314,    69,    69,     11,     11,  6  5  1  0  0  B1                               ,  5  6  1  0  0  B2                               
  140.727089,    0.000010,3.8962E-01,5.2880E-26,H2O,1H2-16O,POKAZATEL, 3738.608900,    45,    45,      7,      7,  1  6  0  2  0  B2                               ,  0  7  0  2  0  B1                               
  140.759217,    0.000042,1.3748E-01,4.0481E-28,H2O,1H2-16O,POKAZATEL, 4308.211312,    15,    13,      7,      6,  1  6  0  0  1  A1                               ,  3  3  1  0  0  A2                               
  140.880176,    0.000136,1.0152E+00,6.1438E-29,H2O,1H2-16O,POKAZATEL, 5117.987626,    15,    13,      7,      6,  1  7  0  3  0  A2                               ,  0  6  0  3  0  A1                               
  140.952127,    0.000045,4.7155E-02,1.1091E-27,H2O,1H2-16O,POKAZATEL, 4291.904673,   111,   105,     18,     17,  5 14  0  0  0  B2                               ,  6 11  0  0  0  B1                               
  141.074934,    0.000083,6.8101E-02,2.1024E-29,H2O,1H2-16O,POKAZATEL, 5183.589315,   105,    99,     17,     16, 11  6  0  0  0  B2                               , 12  5  0  0  0  B1                               
  141.250578,    0.000043,5.3368E-01,9.2078E-29,H2O,1H2-16O,POKAZATEL, 5021.391386,    27,    27,      4,      4,  3  2  0  3  0  B2                               ,  2  3  0  3  0  B1                               
  141.404860,    0.000148,7.7624E-01,8.1331E-24,H2O,1H2-16O,POKAZATEL, 2739.427591,    29,    29,     14,     14,  4 10  0  0  0  A1                               ,  3 11  0  0  0  A2                               
  141.437489,    0.000005,3.2548E-01,8.5833E-20,H2O,1H2-16O,POKAZATEL,  744.162658,    51,    51,      8,      8,  2  7  0  0  0  B1                               ,  1  8  0  0  0  B2                               
  141.472141,    0.000004,1.4868E-01,4.8497E-22,H2O,1H2-16O,POKAZATEL, 1474.980198,    21,    19,     10,      9,  4  6  0  0  0  A1                               ,  5  5  0  0  0  A2                               
  141.530578,    0.000035,6.6711E-02,1.1737E-29,H2O,1H2-16O,POKAZATEL, 5193.457106,    63,    57,     10,      9,  5  6  1  0  0  B2                               ,  5  5  0  0  1  B1                               
  141.619432,    0.000131,1.3876E-01,1.5705E-28,H2O,1H2-16O,POKAZATEL, 4643.378586,    29,    27,     14,     13,  6  8  0  1  0  A1                               ,  7  7  0  1  0  A2                               
  141.717808,    0.000034,4.5275E-01,3.6597E-29,H2O,1H2-16O,POKAZATEL, 5355.262214,    63,    63,     10,     10,  6  5  1  0  0  B1                               ,  4  6  0  0  1  B2                               
  141.892265,    0.000004,7.3196E-01,3.0669E-24,H2O,1H2-16O,POKAZATEL, 2841.430511,    19,    19,      9,      9,  4  6  0  1  0  A1                               ,  3  7  0  1  0  A2                               
  142.132058,    0.000042,6.7304E-01,4.3252E-29,H2O,1H2-16O,POKAZATEL, 5421.266884,    69,    69,     11,     11,  4  8  0  0  1  B2                               ,  3  9  0  0  1  B1                               
  142.259201,    0.000010,6.3291E-01,1.2795E-26,H2O,1H2-16O,POKAZATEL, 3873.793588,    13,    13,      6,      6,  4  2  0  2  0  A1                               ,  3  3  0  2  0  A2                               
  142.279803,    0.000003,7.5394E-01,4.4405E-24,H2O,1H2-16O,POKAZATEL, 2998.765970,    57,    57,      9,      9,  5  4  0  1  0  B2                               ,  4  5  0  1  0  B1                               
  142.459441,    0.000097,8.3920E-01,3.2892E-27,H2O,1H2-16O,POKAZATEL, 4382.778179,    29,    29,     14,     14,  4 10  0  1  0  A1                               ,  3 11  0  1  0  A2                               
  142.504350,    0.000007,2.9623E-03,9.5452E-27,H2O,1H2-16O,POKAZATEL, 2915.893164,    21,    23,     10,     11,  2  8  0  1  0  A1                               ,  1 11  0  1  0  A2                               
  142.562907,    0.000035,1.5815E-02,4.2421E-29,H2O,1H2-16O,POKAZATEL, 4553.273272,    45,    45,      7,      7,  5  2  1  0  0  B2                               ,  3  5  0  0  1  B1                               
  142.635401,    0.000015,1.4078E-01,1.2398E-27,H2O,1H2-16O,POKAZATEL, 4442.712031,    87,    81,     14,     13,  5 10  0  1  0  B2                               ,  6  7  0  1  0  B1                               
  142.755402,    0.000002,8.0188E-01,4.8460E-22,H2O,1H2-16O,POKAZATEL, 1843.028746,    23,    23,     11,     11,  5  7  0  0  0  A2                               ,  4  8  0  0  0  A1                               
  142.955576,    0.000042,1.1015E+00,3.3531E-26,H2O,1H2-16O,POKAZATEL, 3887.114277,    21,    15,      3,      2,  3  1  0  0  1  B1                               ,  2  0  0  0  1  B2                               
  143.101499,    0.000048,2.3232E-02,1.6533E-29,H2O,1H2-16O,POKAZATEL, 4625.936680,    17,    17,      8,      8,  4  4  1  0  0  A1                               ,  2  7  0  0  1  A2                               
  143.165362,    0.000007,6.3502E-01,8.5272E-26,H2O,1H2-16O,POKAZATEL, 3736.170627,    45,    39,      7,      6,  1  6  0  2  0  B2                               ,  2  5  0  2  0  B1                               
  143.301197,    0.000084,5.3799E-01,1.1207E-28,H2O,1H2-16O,POKAZATEL, 4925.786094,    21,    21,     10,     10,  2  8  1  0  0  A1                               ,  1  9  1  0  0  A2                               
  143.342989,    0.000039,6.8714E-01,3.5340E-29,H2O,1H2-16O,POKAZATEL, 5196.500165,    19,    19,      9,      9,  6  3  0  0  1  A2                               ,  5  4  0  0  1  A1                               
  143.615172,    0.000033,1.3006E-01,6.8464E-24,H2O,1H2-16O,POKAZATEL, 2612.799041,    81,    75,     13,     12,  6  7  0  0  0  B1                               ,  7  6  0  0  0  B2                               
  143.803156,    0.000042,5.4067E-01,2.0674E-28,H2O,1H2-16O,POKAZATEL, 5027.256161,    63,    63,     10,     10,  2  8  0  0  1  B2                               ,  1  9  0  0  1  B1                               
  143.812422,    0.000122,1.0139E-01,2.1591E-27,H2O,1H2-16O,POKAZATEL, 4283.306895,    99,    93,     16,     15,  9  8  0  0  0  B2                               , 10  5  0  0  0  B1                               
  143.920837,    0.000192,1.0164E-01,7.2079E-28,H2O,1H2-16O,POKAZATEL, 4283.304335,    33,    31,     16,     15,  9  7  0  0  0  A2                               , 10  6  0  0  0  A1                               
  143.972557,    0.000010,7.9757E-03,3.8074E-28,H2O,1H2-16O,POKAZATEL, 3791.372103,    21,    21,      3,      3,  3  0  1  0  0  B2                               ,  0  3  1  0  0  B1                               
  144.164407,    0.000081,6.8516E-01,2.3317E-29,H2O,1H2-16O,POKAZATEL, 5320.887961,    23,    23,     11,     11,  4  8  1  0  0  A1                               ,  3  9  1  0  0  A2                               
  144.406310,    0.000116,1.1482E-03,3.3823E-27,H2O,1H2-16O,POKAZATEL, 2983.395126,    27,    29,     13,     14,  8  6  0  0  0  A1                               ,  5  9  0  0  0  A2                               
  144.568304,    0.000038,1.1227E+00,1.1301E-26,H2O,1H2-16O,POKAZATEL, 3885.737737,     7,     5,      3,      2,  3  0  0  0  1  A1                               ,  2  1  0  0  1  A2                               
  144.950502,    0.000050,5.6173E-01,4.2484E-21,H2O,1H2-16O,POKAZATEL, 1293.017188,    21,    21,     10,     10,  2  8  0  0  0  A1                               ,  1  9  0  0  0  A2                               
  145.050971,    0.000003,8.3230E-01,6.9948E-22,H2O,1H2-16O,POKAZATEL, 1998.994771,    69,    69,     11,     11,  6  5  0  0  0  B1                               ,  5  6  0  0  0  B2                               
  145.241190,    0.000032,1.1341E+00,1.7961E-26,H2O,1H2-16O,POKAZATEL, 3789.969497,     7,     5,      3,      2,  3  1  1  0  0  A2                               ,  2  0  1  0  0  A1                               
  145.348825,    0.000035,6.2053E-01,2.4099E-28,H2O,1H2-16O,POKAZATEL, 4977.043905,    51,    51,      8,      8,  6  2  0  0  1  B2                               ,  5  3  0  0  1  B1                               
  145.535599,    0.000171,9.4404E-01,1.8490E-29,H2O,1H2-16O,POKAZATEL, 5450.887813,    25,    25,     12,     12,  5  7  0  2  0  A2                               ,  4  8  0  2  0  A1                               
  145.660494,    0.000024,7.2033E-01,2.6274E-22,H2O,1H2-16O,POKAZATEL, 1960.206081,    25,    25,     12,     12,  3  9  0  0  0  A2                               ,  2 10  0  0  0  A1                               
  145.729053,    0.000093,8.2705E-01,1.2007E-29,H2O,1H2-16O,POKAZATEL, 5742.035648,    75,    75,     12,     12,  5  8  1  0  0  B2                               ,  4  9  1  0  0  B1                               
  145.806728,    0.000076,7.9147E-01,2.0931E-29,H2O,1H2-16O,POKAZATEL, 5351.407623,    21,    21,     10,     10,  6  4  1  0  0  A1                               ,  5  5  1  0  0  A2                               
  145.932888,    0.000108,9.8717E-01,4.9852E-26,H2O,1H2-16O,POKAZATEL, 3870.199755,    33,    33,     16,     16,  7  9  0  0  0  A2                               ,  6 10  0  0  0  A1                               
  146.009925,    0.000065,6.6389E-01,2.5524E-29,H2O,1H2-16O,POKAZATEL, 5138.188183,    11,    11,      5,      5,  3  3  0  3  0  A2                               ,  2  4  0  3  0  A1                               
  146.126309,    0.000115,4.1613E-03,3.3716E-27,H2O,1H2-16O,POKAZATEL, 3291.148733,    33,    35,     16,     17,  3 13  0  0  0  A2                               ,  2 16  0  0  0  A1                               
  146.147645,    0.000048,4.9766E-01,1.4319E-28,H2O,1H2-16O,POKAZATEL, 4782.919729,    15,    15,      7,      7,  6  1  0  0  1  A2                               ,  5  2  0  0  1  A1                               
  146.183884,    0.000038,7.2528E-01,1.1067E-28,H2O,1H2-16O,POKAZATEL, 5193.457106,    57,    57,      9,      9,  6  4  0  0  1  B2                               ,  5  5  0  0  1  B1                               
  146.255817,    0.000004,5.6390E-01,5.7596E-26,H2O,1H2-16O,POKAZATEL, 3722.730860,    33,    33,      5,      5,  4  1  0  2  0  B1                               ,  3  2  0  2  0  B2                               
  146.280249,    0.000047,3.0463E-01,5.1278E-28,H2O,1H2-16O,POKAZATEL, 4613.573099,    39,    39,      6,      6,  6  0  0  0  1  B2                               ,  5  1  0  0  1  B1                               
  146.304343,    0.000044,6.3185E-01,8.1488E-29,H2O,1H2-16O,POKAZATEL, 4976.043086,    17,    17,      8,      8,  6  3  0  0  1  A2                               ,  5  4  0  0  1  A1                               
  146.325234,    0.000052,3.0490E-01,1.7105E-28,H2O,1H2-16O,POKAZATEL, 4613.526388,    13,    13,      6,      6,  6  1  0  0  1  A2                               ,  5  2  0  0  1  A1                               
  146.334271,    0.000052,7.9724E-01,1.4089E-29,H2O,1H2-16O,POKAZATEL, 5434.483310,    21,    21,     10,     10,  6  5  0  0  1  A2                               ,  5  6  0  0  1  A1                               
  146.399462,    0.000036,5.0002E-01,4.3117E-28,H2O,1H2-16O,POKAZATEL, 4782.662115,    45,    45,      7,      7,  6  2  0  0  1  B2                               ,  5  3  0  0  1  B1                               
  146.649387,    0.000145,9.8274E-01,1.0887E-27,H2O,1H2-16O,POKAZATEL, 4638.348631,    29,    29,     14,     14,  6  8  0  1  0  A1                               ,  5  9  0  1  0  A2                               
  146.650480,    0.000006,1.1500E+00,5.4283E-26,H2O,1H2-16O,POKAZATEL, 3788.694180,    21,    15,      3,      2,  3  0  1  0  0  B2                               ,  2  1  1  0  0  B1                               
  146.664321,    0.000027,6.8941E-01,3.5627E-27,H2O,1H2-16O,POKAZATEL, 4149.899082,    13,    11,      6,      5,  2  5  0  0  1  A2                               ,  1  4  0  0  1  A1                               
  146.926857,    0.000037,7.2359E-01,1.3772E-29,H2O,1H2-16O,POKAZATEL, 5683.331452,    75,    75,     12,     12,  3  9  0  0  1  B1                               ,  2 10  0  0  1  B2                               
  146.928006,    0.000042,1.0102E+00,6.1747E-28,H2O,1H2-16O,POKAZATEL, 5052.665175,   117,   117,     19,     19,  6 13  0  0  0  B1                               ,  5 14  0  0  0  B2                               
  147.163926,    0.000044,8.6155E-01,1.3999E-29,H2O,1H2-16O,POKAZATEL, 5698.488705,    69,    69,     11,     11,  6  6  0  0  1  B2                               ,  5  7  0  0  1  B1                               
  147.438040,    0.000005,6.9323E-01,3.6872E-25,H2O,1H2-16O,POKAZATEL, 3334.626289,    27,    21,      4,      3,  2  3  0  2  0  B1                               ,  1  2  0  2  0  B2                               
  147.460485,    0.000037,2.1314E-01,3.3177E-29,H2O,1H2-16O,POKAZATEL, 5207.801729,    63,    63,     10,     10,  4  6  0  0  1  B2                               ,  4  7  1  0  0  B1                               
  147.961143,    0.000033,7.7374E-01,9.0719E-22,H2O,1H2-16O,POKAZATEL, 1695.067603,    23,    23,     11,     11,  4  8  0  0  0  A1                               ,  3  9  0  0  0  A2                               
  148.032336,    0.000053,6.7066E-01,5.0469E-29,H2O,1H2-16O,POKAZATEL, 5108.348658,    19,    19,      9,      9,  6  4  1  0  0  A1                               ,  5  5  1  0  0  A2                               
  148.158315,    0.000086,4.3148E-03,1.0300E-26,H2O,1H2-16O,POKAZATEL, 3291.146923,    99,   105,     16,     17,  4 13  0  0  0  B1                               ,  1 16  0  0  0  B2                               
  148.341206,    0.000042,1.1712E-02,2.1875E-29,H2O,1H2-16O,POKAZATEL, 4643.998599,    51,    51,      8,      8,  3  5  0  0  1  B1                               ,  3  6  1  0  0  B2                               
  148.395554,    0.000055,5.7844E-01,7.0652E-29,H2O,1H2-16O,POKAZATEL, 5027.558710,    21,    21,     10,     10,  3  8  0  0  1  A1                               ,  2  9  0  0  1  A2                               
  148.441815,    0.000003,7.7443E-01,3.8240E-24,H2O,1H2-16O,POKAZATEL, 2771.689953,    17,    17,      8,      8,  5  3  0  1  0  A2                               ,  4  4  0  1  0  A1                               
  148.444116,    0.000002,8.0617E-01,1.9683E-22,H2O,1H2-16O,POKAZATEL, 2161.285764,    45,    39,      7,      6,  1  6  0  1  0  B2                               ,  2  5  0  1  0  B1                               
  148.656905,    0.000005,8.3812E-03,1.5701E-20,H2O,1H2-16O,POKAZATEL,  136.761674,    21,    21,      3,      3,  3  0  0  0  0  B2                               ,  0  3  0  0  0  B1                               
